Country,Happiness,GDPCAPLOG,LifeChoiceFreedom,SocialSupport,Corruption
Finland,7.808700085,10.63926697,0.949172199,0.954329729,0.195444584
Denmark,7.645599842,10.77400112,0.951444268,0.955990791,0.168489456
Switzerland,7.559899807,10.97993279,0.921336651,0.942846596,0.303728431
Iceland,7.504499912,10.77255917,0.948891878,0.974669576,0.711709738
Norway,7.487999916,11.08780384,0.955750287,0.952486575,0.263218194
Netherlands,7.448900223,10.81271172,0.908547819,0.93913883,0.364717126
Sweden,7.353499889,10.75879383,0.939144194,0.926311195,0.250880182
New Zealand,7.299600124,10.50094318,0.936217487,0.949118972,0.22113885
Austria,7.294199944,10.7428236,0.899989486,0.928045869,0.499954879
Luxembourg,7.237500191,11.45068073,0.90563643,0.906912208,0.367084295
Canada,7.23210001,10.69236851,0.933913231,0.927176654,0.390843362
Australia,7.222799778,10.72059631,0.915431738,0.944854617,0.41516912
United Kingdom,7.164500237,10.60013485,0.834743679,0.93668282,0.435915917
Israel,7.128600121,10.41752529,0.747580588,0.913571239,0.78085506
Costa Rica,7.121399879,9.658156395,0.934738934,0.901545942,0.786332428
Ireland,7.093699932,11.16097832,0.886982977,0.942081571,0.357184172
Germany,7.075799942,10.7328186,0.867371082,0.898874462,0.456422031
United States,6.939599991,10.92576885,0.842619538,0.914219022,0.699715316
Czech Republic,6.910900116,10.40416336,0.818537354,0.914430678,0.85844624
Belgium,6.863500118,10.6736393,0.813582063,0.911632538,0.612297952
United Arab Emirates,6.790800095,11.1099987,0.941345513,0.849181116,0.594502211
Malta,6.772799969,10.53383827,0.924911439,0.93037951,0.658547282
France,6.663799763,10.58422279,0.825467646,0.937103748,0.583521128
Mexico,6.465000153,9.797797203,0.858709276,0.838665426,0.806821585
Taiwan Province of China,6.45539999,10.77568531,0.77153033,0.894309103,0.73188293
Uruguay,6.440100193,9.948192596,0.892395437,0.92281127,0.635994136
Saudi Arabia,6.406499863,10.79781246,0.854191244,0.874067068,0.682619512
Spain,6.400899887,10.46292686,0.751989543,0.921125412,0.765859902
Guatemala,6.398900032,8.924805641,0.908147573,0.816621482,0.783237457
Italy,6.38740015,10.48183632,0.66465199,0.889878571,0.873404682
Singapore,6.377099991,11.39552116,0.926645339,0.910268962,0.109784193
Brazil,6.375599861,9.56643486,0.799804807,0.896723807,0.770601273
Slovenia,6.363399982,10.39232254,0.936142623,0.939575672,0.817071021
El Salvador,6.34829998,8.909075737,0.833805263,0.806092262,0.754319906
Kosovo,6.325200081,9.204429626,0.861535907,0.820726514,0.922328293
Panama,6.304800034,10.03423405,0.880366504,0.902094483,0.851588905
Slovakia,6.280600071,10.34774971,0.749952674,0.922493756,0.918096125
Uzbekistan,6.257599831,8.740371704,0.974998116,0.926595807,0.501497388
Chile,6.228499889,10.0320549,0.744896293,0.879713595,0.838239431
Bahrain,6.227300167,10.67638016,0.905855775,0.876342118,0.7393471
Lithuania,6.215499878,10.34362602,0.747381449,0.926107109,0.809583843
Trinidad and Tobago,6.191899776,10.26000214,0.857907116,0.91529417,0.912230611
Poland,6.186299801,10.26512432,0.862055779,0.874257445,0.686927021
Colombia,6.163400173,9.500369072,0.836179912,0.884440243,0.86457181
Cyprus,6.15899992,10.40570259,0.779858291,0.805996239,0.856271744
Nicaragua,6.13710022,8.493160248,0.863902867,0.857497036,0.665950119
Romania,6.123700142,10.107584,0.842823207,0.825161517,0.934300244
Kuwait,6.102099895,11.08982468,0.872366488,0.846475244,0.760849059
Mauritius,6.101299763,9.956786156,0.889534533,0.910357833,0.805343091
Kazakhstan,6.057899952,10.11465836,0.811601937,0.934744895,0.764490843
Estonia,6.021800041,10.34001732,0.87770915,0.934729993,0.623073816
Philippines,6.006000042,8.993545532,0.915463448,0.846730053,0.733634114
Hungary,6.000400066,10.24924374,0.718964577,0.921934128,0.892916501
Thailand,5.998799801,9.741791725,0.905063033,0.889973223,0.886272311
Argentina,5.974699974,9.810955048,0.831132412,0.900567949,0.842009842
Honduras,5.953199863,8.424534798,0.870603263,0.821870148,0.801131904
Latvia,5.949999809,10.17531967,0.671237648,0.918288589,0.795580089
Ecuador,5.925199986,9.246058464,0.859828949,0.836418986,0.801215112
Portugal,5.910900116,10.26374245,0.888747811,0.886590719,0.892629504
Jamaica,5.889800072,9.006250381,0.858068526,0.915701866,0.888890028
South Korea,5.872399807,10.51056671,0.612965107,0.799387157,0.789067447
Japan,5.870800018,10.57968903,0.809961379,0.883545935,0.654558063
Peru,5.796800137,9.456313133,0.824766099,0.831075251,0.893714964
Serbia,5.77820015,9.680980682,0.726495862,0.881475747,0.843509018
Bolivia,5.747499943,8.851115227,0.875873327,0.803108692,0.822606206
Pakistan,5.69329977,8.482727051,0.734833717,0.689062297,0.745705426
Paraguay,5.692100048,9.389982224,0.885923445,0.898727894,0.834788501
Dominican Republic,5.689199924,9.664880753,0.866202772,0.882085383,0.755999923
Bosnia and Herzegovina,5.674099922,9.455817223,0.651352704,0.829204142,0.933769107
Moldova,5.607500076,8.776714325,0.721609175,0.843313575,0.913314283
Tajikistan,5.555699825,8.024810791,0.831383407,0.835297108,0.592076063
Montenegro,5.54610014,9.751860619,0.649565637,0.855314612,0.783121586
Russia,5.546000004,10.12887192,0.729892612,0.903150737,0.864802599
Kyrgyzstan,5.541500092,8.148405075,0.909374893,0.887228489,0.888396084
Belarus,5.539899826,9.779945374,0.639163077,0.90674746,0.63571167
North Cyprus,5.53550005,10.40570259,0.79529351,0.820356607,0.62611568
Greece,5.514999866,10.13232613,0.541345119,0.814380348,0.859931409
Hong Kong S.A.R. of China,5.510399818,10.9346714,0.779833794,0.845969081,0.420607209
Croatia,5.504700184,10.07087517,0.714838803,0.874623716,0.916495264
Libya,5.488800049,9.789815903,0.773157001,0.825942934,0.668779135
Mongolia,5.456200123,9.412186623,0.693351328,0.937142491,0.863511205
Malaysia,5.384300232,10.26251888,0.894626856,0.816509426,0.839302301
Vietnam,5.353499889,8.809545517,0.939592957,0.849987149,0.79642123
Indonesia,5.285600185,9.36975193,0.870614409,0.808379889,0.876296401
Ivory Coast,5.233300209,8.225561142,0.727909327,0.658048689,0.790771961
Benin,5.21600008,7.674319744,0.735182583,0.468671143,0.740532577
Maldives,5.197599888,9.518632889,0.853962779,0.91316092,0.824211061
Congo (Brazzaville),5.194399834,8.536987305,0.719058514,0.640228093,0.751779079
Azerbaijan,5.164800167,9.687726974,0.786824107,0.819308281,0.55253756
Macedonia,5.159800053,9.510591507,0.738840938,0.820392311,0.897490501
Ghana,5.147999763,8.350645065,0.794796526,0.728601098,0.847964764
Nepal,5.137199879,7.925357342,0.797565043,0.785512447,0.738099158
Turkey,5.131800175,10.12941933,0.608830452,0.826313555,0.748197377
China,5.123899937,9.688568115,0.898517907,0.798760593,0.7539711
Turkmenistan,5.119100094,9.74803257,0.826457024,0.958966196,0.883691847
Bulgaria,5.101500034,9.869318962,0.745178163,0.937840343,0.935585141
Morocco,5.094799995,8.940313339,0.772072434,0.592628479,0.815724611
Cameroon,5.084899902,8.118647575,0.763051808,0.700386405,0.851336598
Venezuela,5.053199768,8.977793694,0.62327832,0.890408158,0.837038398
Algeria,5.005099773,9.537964821,0.466610909,0.803385139,0.735485137
Senegal,4.980800152,8.118982315,0.690596163,0.723616004,0.808785141
Guinea,4.949299812,7.750990391,0.706846774,0.637573481,0.761794448
Niger,4.909599781,6.842166901,0.759772122,0.617435038,0.722530186
Laos,4.888599873,8.79858017,0.907213569,0.737502217,0.634679317
Albania,4.882699966,9.417930603,0.781994224,0.671070457,0.896303713
Cambodia,4.848400116,8.249890327,0.959704638,0.773080647,0.822769046
Bangladesh,4.832799911,8.287063599,0.90062499,0.687292993,0.661843538
Gabon,4.829299927,9.680537224,0.704829216,0.787886858,0.849150956
South Africa,4.814099789,9.403370857,0.759330094,0.852532268,0.843423843
Iraq,4.784800053,9.661095619,0.633182645,0.747694969,0.82226181
Lebanon,4.771500111,9.3617239,0.551357508,0.824338138,0.90225625
Burkina Faso,4.768700123,7.46854496,0.665563583,0.712943614,0.739795029
Gambia,4.750599861,7.321814537,0.733163178,0.6931687,0.690717816
Mali,4.729300022,7.629852295,0.71156615,0.731468976,0.839328408
Nigeria,4.724100113,8.57662487,0.759578407,0.73721689,0.861874342
Armenia,4.676799774,9.100476265,0.712017834,0.757479429,0.773544788
Georgia,4.672599792,9.226100922,0.801641524,0.629033029,0.665944695
Iran,4.672399998,9.813719749,0.647873282,0.694689691,0.714635968
Jordan,4.633399963,9.025999069,0.75104779,0.80216372,0.700344324
Mozambique,4.623600006,7.069345951,0.864451885,0.723874032,0.683019102
Kenya,4.583000183,8.02977562,0.829747558,0.702652037,0.831499159
Namibia,4.571100235,9.203141212,0.767520964,0.846880972,0.851449788
Ukraine,4.56069994,9.010690689,0.663081884,0.878879368,0.920636714
Liberia,4.557899952,7.054380417,0.735268712,0.70928055,0.856375933
Palestinian Territories,4.552800179,8.389223099,0.645791829,0.825295925,0.824199975
Uganda,4.43200016,7.500389576,0.731713951,0.764994621,0.836737812
Chad,4.422699928,7.467963696,0.587305248,0.632388055,0.802760839
Tunisia,4.392199993,9.314972878,0.593361557,0.688718557,0.867590249
Mauritania,4.374599934,8.233919144,0.551522553,0.790819228,0.746223509
Sri Lanka,4.327000141,9.389969826,0.837633669,0.825374067,0.859001756
Congo (Kinshasa),4.31099987,6.694256306,0.700793564,0.672159016,0.809403598
Swaziland,4.308100224,9.16267395,0.646822274,0.770290196,0.708263338
Myanmar,4.308000088,8.680481911,0.895075202,0.78440702,0.645124316
Comoros,4.288599968,7.833630085,0.547612607,0.625662446,0.780622602
Togo,4.187200069,7.357711315,0.649828613,0.551312625,0.757733464
Ethiopia,4.186200142,7.509385586,0.740795195,0.743307352,0.753690004
Madagascar,4.165599823,7.281685829,0.557574093,0.668195903,0.817485631
Egypt,4.151400089,9.316541672,0.708354175,0.735447824,0.787726879
Sierra Leone,3.926399946,7.26880312,0.715315044,0.636142015,0.861330688
Burundi,3.775300026,6.492642403,0.626350224,0.490325719,0.606934547
Zambia,3.759399891,8.224720001,0.806500256,0.698824465,0.801289678
Haiti,3.720799923,7.411329269,0.537825167,0.593247831,0.684767246
Lesotho,3.652800083,7.960488319,0.738125861,0.780495703,0.857392073
India,3.573299885,8.849823952,0.881444871,0.592200935,0.772042692
Malawi,3.538000107,7.062226295,0.803223193,0.544007301,0.731700778
Yemen,3.527400017,7.759682655,0.599920273,0.817980587,0.800287724
Botswana,3.478899956,9.711203575,0.821328104,0.779121757,0.777930915
Tanzania,3.476200104,7.967665195,0.82153976,0.688933194,0.619799435
Central African Republic,3.475899935,6.625160217,0.640880644,0.319459856,0.891806662
Rwanda,3.312299967,7.600104332,0.900589406,0.54083544,0.183541179
Zimbabwe,3.299200058,7.865711689,0.711457908,0.763092756,0.81023699
South Sudan,2.816600084,7.425359726,0.451313615,0.553707123,0.763417304
Afghanistan,2.566900015,7.462860584,0.396573007,0.470366955,0.933686554
