Country,GDP,Population,Continent,Life Expectancy
Aruba,,106766.00,North America,76.29
Africa Eastern and Southern,1326.66,677243299.00,Africa,64.01
Afghanistan,508.81,38928341.00,Asia,64.83
Africa Western and Central,1714.43,458803476.00,Africa,58.12
Angola,1895.77,32866268.00,Africa,61.15
Albania,5215.28,2837743.00,Europe,78.57
Andorra,,77265.00,Europe,
Arab World,5802.10,436080728.00,Asia,71.99
United Arab Emirates,,9890400.00,Asia,77.97
Argentina,8441.92,45376763.00,North America,76.67
Armenia,4267.45,2963234.00,Asia,75.09
North American Samoa,,55197.00,Oceania,
Antigua and Barbuda,14450.00,97928.00,North America,77.02
Australia,51812.15,25687041.00,Oceania,82.90
Austria,48105.36,8917205.00,Europe,81.79
Azerbaijan,4214.31,10110116.00,Europe,73.01
Burundi,274.01,11890781.00,Africa,61.58
Belgium,44594.38,11555997.00,Europe,81.75
Benin,1291.04,12123198.00,Africa,61.77
Burkina Faso,830.93,20903278.00,Africa,61.58
Bangladesh,1968.79,164689383.00,Asia,72.59
Bulgaria,9975.78,6927288.00,Europe,74.91
Bahrain,,1701583.00,Asia,77.29
"Bahamas, The",28607.90,393248.00,North America,73.92
Bosnia and Herzegovina,6031.56,3280815.00,Europe,77.40
Belarus,6411.23,9398861.00,Europe,74.23
Belize,4435.62,397621.00,North America,74.62
Bermuda,,63903.00,North America,81.87
Bolivia,3143.05,11673029.00,North America,71.51
Brazil,6796.84,212559409.00,South America,75.88
Barbados,15191.16,287371.00,North America,79.19
Brunei Darussalam,27466.34,437483.00,Asia,75.86
Bhutan,3122.38,771612.00,Asia,71.78
Botswana,6710.99,2351625.00,Africa,69.59
Central African Republic,476.85,4829764.00,Africa,53.28
Canada,43241.62,38005238.00,North America,82.05
Central Europe and the Baltics,16082.46,102246330.00,Europe,77.14
Switzerland,86601.56,8636896.00,Europe,83.70
Channel Islands,,173859.00,Asia,83.09
Chile,13231.70,19116209.00,North America,80.18
China,10500.40,1402112000.00,Asia,76.91
Cote d'Ivoire,2325.72,26378275.00,Africa,57.78
Cameroon,1499.37,26545864.00,Africa,59.29
"Congo, Dem. Rep.",556.81,89561404.00,Africa,60.68
"Congo, Rep.",1972.55,5518092.00,Africa,64.57
Colombia,5332.77,50882884.00,North America,77.29
Comoros,1402.60,869595.00,Africa,64.32
Cabo Verde,3064.27,555988.00,Africa,72.98
Costa Rica,12076.81,5094114.00,North America,80.28
Caribbean small states,9192.77,7442291.00,Africa,73.75
Cuba,,11326616.00,North America,78.80
Curacao,,155014.00,North America,
Cayman Islands,,65720.00,North America,
Cyprus,26623.80,1207361.00,Europe,80.98
Czech Republic,22762.20,10698896.00,Europe,79.13
Germany,45723.64,83240525.00,Europe,80.94
Djibouti,3425.50,988002.00,Africa,67.11
Dominica,6526.79,71991.00,North America,
Denmark,60908.84,5831404.00,Europe,81.20
Dominican Republic,7268.20,10847904.00,North America,74.08
Algeria,3310.39,43851043.00,Africa,76.88
East Asia & Pacific (excluding high income),8291.75,2105003391.00,Asia,75.40
Early-demographic dividend,3254.97,3332105361.00,,70.70
East Asia & Pacific,,2352037717.00,Asia,76.26
Europe & Central Asia (excluding high income),7656.59,420249459.00,Europe,73.94
Europe & Central Asia,23780.39,923489941.00,Europe,78.03
Ecuador,5600.39,17643060.00,North America,77.01
"Egypt, Arab Rep.",3547.87,102334403.00,Africa,71.99
Euro area,37712.12,342949773.00,Europe,82.04
Eritrea,,,Africa,66.32
Spain,27057.16,47351567.00,,83.49
Estonia,23312.28,1331057.00,Europe,78.50
Ethiopia,936.34,114963583.00,Africa,66.60
European Union,33927.72,447794691.00,Europe,81.06
Fragile and conflict affected situations,1864.58,930006546.00,,62.48
Finland,49041.34,5530719.00,Europe,81.79
Fiji,4881.53,896444.00,Oceania,67.44
France,38625.07,67391582.00,Europe,82.58
Faroe Islands,,48865.00,Europe,82.75
"Micronesia, Fed. Sts.",,115021.00,Oceania,67.88
Gabon,7005.88,2225728.00,Africa,66.47
United Kingdom,40284.64,67215293.00,Europe,81.20
Georgia,4278.86,3714000.00,Europe,73.77
Ghana,2328.53,31072945.00,Africa,64.07
Gibraltar,,33691.00,Europe,
Guinea,1194.04,13132792.00,Africa,61.60
"Gambia, The",787.01,2416664.00,Africa,62.05
Guinea-Bissau,727.52,1967998.00,Africa,58.32
Equatorial Guinea,7143.24,1402985.00,Africa,58.74
Greece,17676.19,10715549.00,Europe,81.94
Grenada,9680.18,112519.00,North America,72.40
Greenland,,56367.00,North America,
Guatemala,4603.34,16858333.00,North America,74.30
Guam,,168783.00,Oceania,80.07
Guyana,6955.94,786559.00,North America,69.91
High income,43833.93,1214930230.00,,80.89
"Hong Kong SAR, China",46323.86,7481800.00,Asia,85.08
Honduras,2405.73,9904608.00,North America,75.27
Heavily indebted poor countries (HIPC),973.27,823480038.00,,63.49
Croatia,13828.47,4047200.00,Europe,78.42
Haiti,1176.76,11402533.00,North America,64.00
Hungary,15899.15,9749763.00,Europe,76.02
IBRD only,6187.69,4853608684.00,,73.61
IDA & IBRD total,4929.86,6562212357.00,,71.27
IDA total,1364.16,1708603673.00,,64.54
IDA blend,1664.26,574159138.00,,62.41
Indonesia,3869.59,273523621.00,Asia,71.72
IDA only,1219.78,1134444535.00,,65.61
Isle of Man,,85032.00,Europe,
India,1900.71,1380004385.00,Asia,69.66
Not classified,,,,
Ireland,83812.80,4994724.00,Europe,82.30
"Iran, Islamic Rep.",2282.55,83992953.00,Asia,76.68
Iraq,4157.48,40222503.00,Asia,70.60
Iceland,59260.89,366425.00,Europe,82.56
Israel,43610.52,9216900.00,Asia,82.80
Italy,31676.20,59554023.00,Europe,83.20
Jamaica,4664.53,2961161.00,Africa,74.48
Jordan,4282.77,10203140.00,Africa,74.53
Japan,,125836021.00,Asia,84.36
Kazakhstan,9055.75,18754440.00,Asia,73.18
Kenya,1838.21,53771300.00,Africa,66.70
Kyrgyz Republic,1173.61,6591600.00,Asia,71.60
Cambodia,1512.73,16718971.00,Asia,69.82
Kiribati,1670.82,119446.00,Oceania,68.37
St. Kitts and Nevis,17435.93,53192.00,North America,
"Korea, Rep.",31489.12,51780579.00,Asia,83.23
Kuwait,,4270563.00,Asia,75.49
Latin North America & Caribbean (excluding high income),6733.11,595242966.00,North America,75.59
Lao PDR,2630.20,7275556.00,,67.92
Lebanon,4891.00,6825442.00,Asia,78.93
Liberia,583.27,5057677.00,Africa,64.10
Libya,3699.23,6871287.00,Africa,72.91
St. Lucia,9276.12,183629.00,North America,76.20
Latin North America & Caribbean,7417.25,652276325.00,North America,75.60
Least developed countries: UN classification,1068.80,1057438163.00,,65.35
Low income,821.86,665149035.00,,63.73
Liechtenstein,,38137.00,Europe,83.04
Sri Lanka,3682.04,21919000.00,Asia,76.98
Lower middle income,2200.40,3330652547.00,,69.09
Low & middle income,4759.24,6509474374.00,,71.21
Lesotho,861.01,2142252.00,Africa,54.33
Late-demographic dividend,9758.45,2307887395.00,,76.43
Lithuania,19997.59,2794700.00,,76.13
Luxembourg,115873.60,632275.00,Europe,82.45
Latvia,17619.95,1901548.00,Europe,75.24
"Macao SAR, China",,649342.00,Asia,84.24
St. Martin (French part),,38659.00,Europe,79.97
Morocco,3009.25,36910558.00,Africa,76.68
Monaco,,39244.00,Europe,
Moldova,4551.13,2617820.00,Europe,71.90
Madagascar,495.49,27691019.00,Africa,67.04
Maldives,7455.86,540542.00,Asia,78.92
Middle East & North Africa,6669.90,464554123.00,Asia,74.27
Mexico,8346.70,128932753.00,North America,75.05
Marshall Islands,,59194.00,Oceania,
Middle income,5207.29,5844325339.00,,72.05
North Macedonia,5888.00,2083380.00,Europe,75.80
Mali,858.92,20250834.00,Africa,59.31
Malta,27884.64,525285.00,Africa,82.60
Myanmar,1400.22,54409794.00,Asia,67.13
Middle East & North Africa (excluding high income),3066.23,396147843.00,Asia,73.78
Montenegro,7686.09,621718.00,Europe,76.88
Mongolia,4007.31,3278292.00,Asia,69.87
Northern Mariana Islands,,57557.00,,
Mozambique,448.61,31255435.00,Africa,60.85
Mauritania,1672.92,4649660.00,Africa,64.93
Mauritius,8622.68,1265740.00,Africa,74.24
Malawi,625.29,19129955.00,Africa,64.26
Malaysia,10401.79,32365998.00,Asia,76.16
North America,61453.13,367553264.00,North America,79.12
Namibia,4211.05,2540916.00,Africa,63.71
New Caledonia,,271960.00,Oceania,77.63
Niger,565.06,24206636.00,Africa,62.42
Nigeria,2097.09,206139587.00,Africa,54.69
Nicaragua,1905.26,6624554.00,Africa,74.49
Netherlands,52304.06,17441139.00,Europe,82.01
Norway,67294.48,5379475.00,Europe,82.91
Nepal,1155.14,29136808.00,Asia,70.78
Nauru,,10834.00,Oceania,
New Zealand,41791.79,5084300.00,Oceania,81.71
OECD members,37975.91,1370858752.00,,80.21
Oman,,5106622.00,Asia,77.86
Other small states,11821.75,31941786.00,,68.82
Pakistan,1193.73,220892331.00,Asia,67.27
Panama,12269.05,4314768.00,North America,78.51
Peru,6126.87,32971846.00,South America,76.74
Philippines,3298.83,109581085.00,Asia,71.23
Palau,,18092.00,Oceania,
Papua New Guinea,2636.80,8947027.00,Oceania,64.50
Poland,15656.18,37950802.00,Europe,77.86
Pre-demographic dividend,1342.48,970795671.00,,61.18
Puerto Rico,32290.92,3194034.00,North America,79.93
"Korea, Dem. People's Rep.",,25778815.00,Asia,72.27
Portugal,22439.88,10305564.00,Europe,80.68
Paraguay,4949.75,7132530.00,South America,74.25
West Bank and Gaza,3239.73,4803269.00,Asia,74.05
Pacific island small states,3626.29,2528958.00,,70.08
Post-demographic dividend,44217.90,1115116448.00,,80.79
French Polynesia,,280904.00,Oceania,77.66
Qatar,50805.46,2881060.00,Asia,80.23
Romania,12896.09,19286123.00,Europe,75.46
Russian Federation,10126.72,144104080.00,Asia,73.08
Rwanda,797.86,12952209.00,Africa,69.02
South Asia,1804.92,1856882402.00,,69.64
Saudi Arabia,20110.32,34813867.00,Asia,75.13
Sudan,595.47,43849269.00,Africa,65.31
Senegal,1487.76,16743930.00,Africa,67.94
Singapore,59797.75,5685807.00,Asia,83.50
Solomon Islands,2258.40,686878.00,Oceania,73.00
Sierra Leone,484.52,7976985.00,Africa,54.70
El Salvador,3798.64,6486201.00,Africa,73.32
San Marino,,33938.00,Europe,
Somalia,309.42,15893219.00,Africa,57.40
Serbia,7666.24,6908224.00,Europe,75.69
Sub-Saharan Africa (excluding high income),1482.91,1135948313.00,Africa,61.63
South Sudan,,11193729.00,Africa,57.85
Sub-Saharan Africa,1483.77,1136046775.00,Africa,61.63
Small states,10864.01,41913035.00,,69.77
Sao Tome and Principe,2157.84,219161.00,Africa,70.39
Suriname,6491.14,586634.00,South America,71.68
Slovak Republic,19156.89,5458827.00,Asia,77.47
Slovenia,25179.67,2100126.00,Asia,81.28
Sweden,51925.71,10353442.00,Europe,82.96
Eswatini,3415.46,1160164.00,Africa,60.19
Sint Maarten (Dutch part),,40812.00,North America,
Seychelles,11425.09,98462.00,Africa,73.94
Syrian Arab Republic,,17500657.00,Asia,72.70
Turks and Caicos Islands,23879.93,38718.00,Asia,
Chad,614.47,16425859.00,Africa,54.24
East Asia & Pacific (IDA & IBRD countries),8378.63,2079198305.00,Asia,75.44
Europe & Central Asia (IDA & IBRD countries),8368.48,462247461.00,Europe,74.30
Togo,914.95,8278737.00,Africa,61.04
Thailand,7189.04,69799978.00,Asia,77.15
Tajikistan,859.14,9537642.00,Asia,71.10
Turkmenistan,,6031187.00,Asia,68.19
Latin North America & the Caribbean (IDA & IBRD countries),7244.56,636492840.00,,75.52
Timor-Leste,1381.18,1318442.00,Asia,69.50
Middle East & North Africa (IDA & IBRD countries),3063.19,391344574.00,Europe,73.77
Tonga,,105697.00,Africa,70.91
South Asia (IDA & IBRD),1804.92,1856882402.00,Asia,69.64
Sub-Saharan Africa (IDA & IBRD countries),1483.77,1136046775.00,Africa,61.63
Trinidad and Tobago,15384.04,1399491.00,Asia,73.51
Tunisia,3319.82,11818618.00,Africa,76.70
Turkey,8538.17,84339067.00,Europe,77.69
Tuvalu,4143.11,11792.00,Oceania,
Tanzania,1076.47,59734213.00,Africa,65.46
Uganda,817.04,45741000.00,Africa,63.37
Ukraine,3726.93,44134693.00,Europe,71.83
Upper middle income,9191.68,2513672792.00,,75.94
Uruguay,15438.41,3473727.00,South America,77.91
United States,63543.58,329484123.00,North America,78.79
Uzbekistan,1685.76,34232050.00,Asia,71.73
St. Vincent and the Grenadines,7297.91,110947.00,North America,72.53
"Venezuela, RB",,28435943.00,South America,72.06
British Virgin Islands,,30237.00,Europe,
Virgin Islands (U.S.),,106290.00,North America,79.67
Vietnam,2785.72,97338583.00,Asia,75.40
Vanuatu,2782.98,307150.00,Oceania,70.47
World,10925.73,7752840547.00,,72.74
Samoa,4067.47,198410.00,Oceania,73.32
Kosovo,4287.20,1775378.00,Europe,72.50
"Yemen, Rep.",,29825968.00,Asia,66.13
South Africa,5090.72,59308690.00,Africa,64.13
Zambia,1050.92,18383956.00,Africa,63.89
Zimbabwe,1128.21,14862927.00,Africa,61.49
